datetime,outside_temperature_C,calgary_load_MW,thermal_heating_load_kW,COP_Lorenz,COP_Carnot,HP_load_Lorenz_kW_per_unit,HP_load_Carnot_kW_per_unit,total_HP_load_Lorenz_MW,HP_modifier_Lorenz_percent,modified_forecast_Lorenz_MW,total_HP_load_Carnot_MW,HP_modifier_Carnot_percent,modified_forecast_Carnot_MW,estimated_Calgary_HP_count
2024-03-26 23:00:00,-6.1,107.1849226,3.0125,6.0,6.0,0.5020833333333333,0.5020833333333333,0.21351093749999997,0.1991986674252634,107.3984335375,0.21351093749999997,0.1991986674252634,107.3984335375,425.25
2024-03-27 00:00:00,-2.8,106.8968924,2.6,6.0,6.0,0.43333333333333335,0.43333333333333335,0.184275,0.1723857409347851,107.0811674,0.184275,0.1723857409347851,107.0811674,425.25
2024-03-27 01:00:00,-1.9,101.7990053,2.4875,6.0,6.0,0.4145833333333333,0.4145833333333333,0.17630156249999998,0.17318593829128504,101.9753068625,0.17630156249999998,0.17318593829128504,101.9753068625,425.25
2024-03-27 02:00:00,-1.8,94.8407855,2.475,6.0,6.0,0.41250000000000003,0.41250000000000003,0.17541562500000002,0.18495800522445063,95.016201125,0.17541562500000002,0.18495800522445063,95.016201125,425.25
2024-03-27 03:00:00,-2.2,92.86535,2.525,6.0,6.0,0.42083333333333334,0.42083333333333334,0.178959375,0.19270844830714576,93.04430937500001,0.178959375,0.19270844830714576,93.04430937500001,425.25
2024-03-27 04:00:00,-1.0,94.3710005,2.375,6.0,6.0,0.3958333333333333,0.3958333333333333,0.168328125,0.17836848619613818,94.539328625,0.168328125,0.17836848619613818,94.539328625,425.25
2024-03-27 05:00:00,-1.0,97.9270073,2.375,6.0,6.0,0.3958333333333333,0.3958333333333333,0.168328125,0.17189142162215346,98.095335425,0.168328125,0.17189142162215346,98.095335425,425.25
2024-03-27 06:00:00,-0.6,101.883533,2.325,6.0,6.0,0.3875,0.3875,0.164784375,0.16173798664795028,102.048317375,0.164784375,0.16173798664795028,102.048317375,425.25
2024-03-27 07:00:00,-3.6,95.6234933,2.7,6.0,6.0,0.45,0.45,0.19136250000000002,0.20012080023016685,95.8148558,0.19136250000000002,0.20012080023016685,95.8148558,425.25
2024-03-27 08:00:00,-2.4,95.9383185,2.55,6.0,6.0,0.425,0.425,0.18073124999999998,0.18838275761524836,96.11904974999999,0.18073124999999998,0.18838275761524836,96.11904974999999,425.25
2024-03-27 09:00:00,1.1,96.7664561,2.1125,6.0,6.0,0.3520833333333333,0.3520833333333333,0.1497234375,0.15472658970302003,96.9161795375,0.1497234375,0.15472658970302003,96.9161795375,425.25
2024-03-27 10:00:00,3.3,97.8281001,1.8375,6.0,6.0,0.30624999999999997,0.30624999999999997,0.1302328125,0.13312413546504107,97.9583329125,0.1302328125,0.13312413546504107,97.9583329125,425.25
2024-03-27 11:00:00,3.9,95.5909862,1.7625,6.0,6.0,0.29375,0.29375,0.12491718750000001,0.13067883538584102,95.7159033875,0.12491718750000001,0.13067883538584102,95.7159033875,425.25
